year,aggressive_transition,baseline,combined_aggressive,combined_moderate,enhanced_11th_plan,enhanced_combined,high_physical,low_demand,moderate_physical,moderate_transition,severe_drought
2025,0.4001,0.9262,0.4001,0.7158,0.3882,0.3882,0.9262,0.9262,0.9262,0.7158,0.9262
2026,0.4001,0.9262,0.4001,0.7158,0.2628,0.2628,0.9262,0.8936,0.9262,0.7158,0.9262
2027,0.4001,0.9262,0.4001,0.7158,0.1275,0.1275,0.9262,0.8617,0.9262,0.7158,0.9262
2028,0.4001,0.9262,0.4001,0.7158,0.0077,0.0077,0.9262,0.8305,0.9262,0.7158,0.9262
2029,0.4001,0.9262,0.4001,0.7158,-0.0841,-0.0841,0.9262,0.8,0.9262,0.7158,0.9262
2030,0.4001,0.9262,0.4001,0.7158,-0.1778,-0.1778,0.9262,0.7701,0.9262,0.7158,0.9262
2031,0.4001,0.9262,0.4001,0.7158,-0.2338,-0.2338,0.9262,0.741,0.9262,0.7158,0.9262
2032,0.4001,0.9262,0.4001,0.7158,-0.2827,-0.2827,0.9262,0.7125,0.9262,0.7158,0.9262
2033,0.4001,0.9234,0.4001,0.7158,-0.3278,-0.3278,0.9234,0.6846,0.9234,0.7158,0.9234
2034,0.4001,0.9159,0.4001,0.7158,-0.3689,-0.3689,0.9159,0.6573,0.9159,0.7158,0.9159
2035,0.4001,0.908,0.4001,0.7158,-0.4191,-0.4191,0.908,0.6307,0.908,0.7158,0.908
2036,0.4001,0.8995,0.4001,0.7158,-0.4641,-0.4641,0.8995,0.6047,0.8995,0.7158,0.8995
2037,0.4001,0.8906,0.4001,0.7158,-0.5026,-0.5026,0.8906,0.5792,0.8906,0.7158,0.8906
2038,0.4001,0.8811,0.4001,0.7158,-0.5353,-0.5353,0.8811,0.5543,0.8811,0.7158,0.8811
2039,0.4001,0.871,0.4001,0.7132,-0.46,-0.46,0.871,0.53,0.871,0.7132,0.871
2040,0.4001,0.8603,0.4001,0.7025,-0.3365,-0.3365,0.8603,0.5062,0.8603,0.7025,0.8603
2041,0.4001,0.849,0.4001,0.6911,,,0.849,0.483,0.849,0.6911,0.849
2042,0.4001,0.837,0.4001,0.6791,,,0.837,0.4603,0.837,0.6791,0.837
2043,0.4001,0.8242,0.4001,0.6663,,,0.8242,0.4381,0.8242,0.6663,0.8242
2044,0.4001,0.8106,0.4001,0.6528,,,0.8106,0.4164,0.8106,0.6528,0.8106
2045,0.4001,0.7963,0.4001,0.6384,,,0.7963,0.3953,0.7963,0.6384,0.7963
2046,0.4001,0.7963,0.4001,0.6384,,,0.7963,0.3745,0.7963,0.6384,0.7963
2047,0.4001,0.7963,0.4001,0.6384,,,0.7963,0.3543,0.7963,0.6384,0.7963
2048,0.4001,0.7963,0.4001,0.6384,,,0.7963,0.3345,0.7963,0.6384,0.7963
2049,0.4001,0.7963,0.4001,0.6384,,,0.7963,0.3152,0.7963,0.6384,0.7963
2050,,0.7963,,0.6384,,,0.7963,0.2964,0.7963,0.6384,0.7963
2051,,0.7963,,0.6384,,,0.7963,0.2779,0.7963,0.6384,0.7963
2052,,0.7963,,0.6384,,,0.7963,0.2599,0.7963,0.6384,0.7963
2053,,0.7963,,0.6384,,,0.7963,0.2423,0.7963,0.6384,0.7963
2054,,0.7963,,0.6384,,,0.7963,0.2251,0.7963,0.6384,0.7963
2055,,0.7963,,0.6384,,,0.7963,0.2083,0.7963,0.6384,0.7963
2056,,0.7963,,0.6384,,,0.7963,0.1919,0.7963,0.6384,0.7963
2057,,0.7963,,0.6384,,,0.7963,0.1759,0.7963,0.6384,0.7963
2058,,0.7963,,0.6384,,,0.7963,0.1603,0.7963,0.6384,0.7963
2059,,0.7963,,0.6384,,,0.7963,0.145,0.7963,0.6384,0.7963
2060,,0.7963,,,,,0.7963,0.1301,0.7963,,0.7963
2061,,0.7963,,,,,0.7963,0.1155,0.7963,,0.7963
2062,,0.7963,,,,,0.7963,0.1013,0.7963,,0.7963
2063,,0.7963,,,,,0.7963,0.0874,0.7963,,0.7963
2064,,0.7963,,,,,0.7963,0.0738,0.7963,,0.7963
