scenario,year,dscr,ebitda,interest_expense,fixed_assets,debt_outstanding,total_equity,total_assets,ebitda_to_fixed_assets,ebitda_to_interest,net_debt_to_ebitda,debt_to_equity,debt_to_assets,is_ebitda_negative,profitability_rating,coverage_rating,dscr_rating,net_debt_leverage_rating,equity_leverage_rating,asset_leverage_rating
baseline,2025,1.072,201877275.18,142000000.0,3550000000.0,2840000000.0,710000000.0,3550000000.0,5.686684,1.421671,13.967953,400.0,80.0,False,BBB,BB,B,B,BB,BBB
baseline,2026,1.072,201877275.18,139862696.22,3431666666.67,2797253924.37,634412742.29,3431666666.67,5.882776,1.443396,13.75621,440.920199,81.512985,False,BBB,BB,B,B,B,BB
baseline,2027,1.072,201877275.18,137618527.25,3313333333.33,2752370544.96,560962788.37,3313333333.33,6.092876,1.466934,13.53388,490.651181,83.069534,False,BBB,BB,B,B,B,BB
baseline,2028,1.072,201877275.18,135262149.83,3195000000.0,2705242996.58,489757003.42,3195000000.0,6.318538,1.492489,13.300433,552.364331,84.671142,False,BBB,BB,B,B,B,BB
baseline,2029,1.072,201877275.18,132787953.54,3076666666.67,2655759070.78,420907595.88,3076666666.67,6.561558,1.520298,13.055315,630.96012,86.319363,False,BBB,BB,B,B,B,BB
baseline,2030,1.072,201877275.18,130190047.43,2958333333.33,2603800948.7,354532384.64,2958333333.33,6.824021,1.550635,12.79794,734.43247,88.015807,False,BBB,BB,B,B,B,BB
baseline,2031,1.072,201877275.18,127462246.03,2840000000.0,2549244920.5,290755079.5,2840000000.0,7.108355,1.58382,12.527696,876.767114,89.762145,False,BBB,BB,B,B,B,BB
baseline,2032,1.072,201877275.18,124598054.54,2721666666.67,2491961090.9,229705575.77,2721666666.67,7.417414,1.620228,12.243941,1084.850066,91.560114,False,BBB,BB,B,B,B,B
baseline,2033,1.072,201877275.18,121590653.49,2603333333.33,2431813069.82,171520263.52,2603333333.33,7.754569,1.660303,11.945997,1417.799285,93.411514,False,BBB,BB,B,BB,B,B
baseline,2034,1.072,201877275.18,118432882.38,2485000000.0,2368657647.68,116342352.32,2485000000.0,8.123834,1.704571,11.633156,2035.937559,95.318215,False,A,BB,B,BB,B,B
baseline,2035,1.072,201877275.18,115117222.72,2366666666.67,2302344454.43,64322212.23,2366666666.67,8.530026,1.753667,11.304674,3579.392522,97.28216,False,A,BB,B,BB,B,B
baseline,2036,1.072,201877275.18,111635780.08,2248333333.33,2232715601.53,15617731.8,2248333333.33,8.978974,1.808356,10.959767,14296.029855,99.305364,False,A,BB,B,BB,B,B
baseline,2037,1.072,201877275.18,107980265.3,2130000000.0,2159605305.98,0.0,2159605305.98,9.347878,1.869576,10.597615,999.0,100.0,False,A,BB,B,BB,B,B
baseline,2038,1.072,201877275.18,104141974.78,2011666666.67,2082839495.65,0.0,2082839495.65,9.692407,1.938481,10.217355,999.0,100.0,False,A,BB,B,BB,B,B
baseline,2039,1.072,201877275.18,100111769.74,1893333333.33,2002235394.8,0.0,2002235394.8,10.082594,2.016519,9.818082,999.0,100.0,False,A,BBB,B,BBB,B,B
baseline,2040,1.072,201877275.18,95880054.45,1775000000.0,1917601088.91,0.0,1917601088.91,10.527595,2.105519,9.398846,999.0,100.0,False,A,BBB,B,BBB,B,B
baseline,2041,1.072,201877275.18,91436753.39,1656666666.67,1828735067.73,0.0,1828735067.73,11.039176,2.207835,8.958647,999.0,100.0,False,AA,BBB,B,BBB,B,B
baseline,2042,1.072,201877275.18,86771287.27,1538333333.33,1735425745.49,0.0,1735425745.49,11.632723,2.326545,8.496439,999.0,100.0,False,AA,BBB,B,BBB,B,B
baseline,2043,1.07,201877275.18,81872547.86,1420000000.0,1637450957.14,0.0,1637450957.14,12.328752,2.46575,8.011121,999.0,100.0,False,AA,BBB,B,BBB,B,B
baseline,2044,1.063,201877275.18,76728871.47,1301666666.67,1534577429.37,0.0,1534577429.37,13.155236,2.631047,7.501536,999.0,100.0,False,AA,BBB,B,BBB,B,B
baseline,2045,1.056,201877275.18,71328011.26,1183333333.33,1426560225.21,0.0,1426560225.21,14.151332,2.830266,6.966473,999.0,100.0,False,AA,BBB,B,A,B,B
