year,aggressive_transition,baseline,combined_aggressive,combined_moderate,enhanced_11th_plan,enhanced_combined,high_physical,low_demand,moderate_physical,moderate_transition,severe_drought
2025,0.35,0.6,0.35,0.5,0.4766953846153846,0.4766953846153846,0.6,0.6,0.6,0.5,0.6
2026,0.35,0.6,0.35,0.5,0.4403907692307691,0.4403907692307691,0.6,0.594,0.6,0.5,0.6
2027,0.35,0.6,0.35,0.5,0.4040861538461538,0.4040861538461538,0.6,0.5880599999999999,0.6,0.5,0.6
2028,0.35,0.6,0.35,0.5,0.3677815384615384,0.3677815384615384,0.6,0.5821794,0.6,0.5,0.6
2029,0.35,0.6,0.35,0.5,0.3489230769230769,0.3489230769230769,0.6,0.576357606,0.6,0.5,0.6
2030,0.35,0.6,0.35,0.5,0.3107076923076923,0.3107076923076923,0.6,0.57059402994,0.6,0.5,0.6
2031,0.35,0.6,0.35,0.5,0.2922812307692307,0.2922812307692307,0.6,0.5648880896406,0.6,0.5,0.6
2032,0.35,0.6,0.35,0.5,0.280068923076923,0.280068923076923,0.6,0.559239208744194,0.6,0.5,0.6
2033,0.35,0.6,0.35,0.5,0.2678566153846154,0.2678566153846154,0.6,0.553646816656752,0.6,0.5,0.6
2034,0.35,0.6,0.35,0.5,0.2556443076923076,0.2556443076923076,0.6,0.5481103484901845,0.6,0.5,0.6
2035,0.35,0.6,0.35,0.5,0.2434319999999999,0.2434319999999999,0.6,0.5426292450052826,0.6,0.5,0.6
2036,0.35,0.6,0.35,0.5,0.2312196923076923,0.2312196923076923,0.6,0.5372029525552298,0.6,0.5,0.6
2037,0.35,0.6,0.35,0.5,0.2173790769230769,0.2173790769230769,0.6,0.5318309230296775,0.6,0.5,0.6
2038,0.35,0.6,0.35,0.5,0.2035384615384615,0.2035384615384615,0.6,0.5265126137993806,0.6,0.5,0.6
2039,0.35,0.6,0.35,0.5,0.1038461538461538,0.1038461538461538,0.6,0.521247487661387,0.6,0.5,0.6
2040,0.35,0.6,0.35,0.5,0.0,0.0,0.6,0.516035012784773,0.6,0.5,0.6
2041,0.35,0.6,0.35,0.5,,,0.6,0.5108746626569253,0.6,0.5,0.6
2042,0.35,0.6,0.35,0.5,,,0.6,0.505765916030356,0.6,0.5,0.6
2043,0.35,0.6,0.35,0.5,,,0.6,0.5007082568700525,0.6,0.5,0.6
2044,0.35,0.6,0.35,0.5,,,0.6,0.4957011743013519,0.6,0.5,0.6
2045,0.35,0.6,0.35,0.5,,,0.6,0.4907441625583384,0.6,0.5,0.6
2046,0.35,0.6,0.35,0.5,,,0.6,0.485836720932755,0.6,0.5,0.6
2047,0.35,0.6,0.35,0.5,,,0.6,0.4809783537234275,0.6,0.5,0.6
2048,0.35,0.6,0.35,0.5,,,0.6,0.4761685701861932,0.6,0.5,0.6
2049,0.35,0.6,0.35,0.5,,,0.6,0.4714068844843312,0.6,0.5,0.6
2050,,0.6,,0.5,,,0.6,0.4666928156394879,0.6,0.5,0.6
2051,,0.6,,0.5,,,0.6,0.462025887483093,0.6,0.5,0.6
2052,,0.6,,0.5,,,0.6,0.4574056286082621,0.6,0.5,0.6
2053,,0.6,,0.5,,,0.6,0.4528315723221795,0.6,0.5,0.6
2054,,0.6,,0.5,,,0.6,0.4483032565989577,0.6,0.5,0.6
2055,,0.6,,0.5,,,0.6,0.4438202240329681,0.6,0.5,0.6
2056,,0.6,,0.5,,,0.6,0.4393820217926384,0.6,0.5,0.6
2057,,0.6,,0.5,,,0.6,0.434988201574712,0.6,0.5,0.6
2058,,0.6,,0.5,,,0.6,0.4306383195589649,0.6,0.5,0.6
2059,,0.6,,0.5,,,0.6,0.4263319363633752,0.6,0.5,0.6
2060,,0.6,,,,,0.6,0.4220686169997414,0.6,,0.6
2061,,0.6,,,,,0.6,0.4178479308297441,0.6,,0.6
2062,,0.6,,,,,0.6,0.4136694515214466,0.6,,0.6
2063,,0.6,,,,,0.6,0.4095327570062321,0.6,,0.6
2064,,0.6,,,,,0.6,0.4054374294361698,0.6,,0.6
