scenario_name,physical_scenario,ssp,target_year,outage_rate,efficiency_loss,water_temp_disruption,notes
baseline,baseline,ssp126,2024,3.4e-05,0.0011123287671232877,4.657534246575343e-05,WF=0.000034 TE=0.0011 WT=0.000047 (SSP1-2.6 y2024)
moderate_transition,baseline,ssp126,2024,3.4e-05,0.0011123287671232877,4.657534246575343e-05,WF=0.000034 TE=0.0011 WT=0.000047 (SSP1-2.6 y2024)
aggressive_transition,baseline,ssp126,2024,3.4e-05,0.0011123287671232877,4.657534246575343e-05,WF=0.000034 TE=0.0011 WT=0.000047 (SSP1-2.6 y2024)
moderate_physical,moderate_physical,ssp126,2040,4.25e-05,0.004994821917808219,0.0001753424657534248,WF=0.000043 TE=0.0050 WT=0.000175 (SSP1-2.6 y2040)
high_physical,high_physical,ssp585,2040,4.5900000000000004e-05,0.006794095890410959,0.0001753424657534248,WF=0.000046 TE=0.0068 WT=0.000175 (RCP8.5 y2040)
combined_moderate,moderate_physical,ssp126,2040,4.25e-05,0.004994821917808219,0.0001753424657534248,WF=0.000043 TE=0.0050 WT=0.000175 (SSP1-2.6 y2040)
combined_aggressive,high_physical,ssp585,2040,4.5900000000000004e-05,0.006794095890410959,0.0001753424657534248,WF=0.000046 TE=0.0068 WT=0.000175 (RCP8.5 y2040)
low_demand,baseline,ssp126,2024,3.4e-05,0.0011123287671232877,4.657534246575343e-05,WF=0.000034 TE=0.0011 WT=0.000047 (SSP1-2.6 y2024)
severe_drought,severe_drought,ssp585,2050,5.1e-05,0.00960586301369863,0.00032328767123287664,WF=0.000051 TE=0.0096 WT=0.000323 (RCP8.5 y2050)
enhanced_11th_plan,baseline,ssp126,2024,3.4e-05,0.0011123287671232877,4.657534246575343e-05,WF=0.000034 TE=0.0011 WT=0.000047 (SSP1-2.6 y2024)
enhanced_combined,moderate_physical,ssp126,2040,4.25e-05,0.004994821917808219,0.0001753424657534248,WF=0.000043 TE=0.0050 WT=0.000175 (SSP1-2.6 y2040)
