scenario,year,outage_rate,efficiency_loss,mean_temp_derate,heat_wave_derate,cooling_water_derate,water_temp_disruption,total_physical_risk
moderate_physical,2025,0.00003485,0.00146052,0.00025000,0.00119452,0.00001600,0.00004932,0.00154469
moderate_physical,2026,0.00003570,0.00180908,0.00050000,0.00127708,0.00003200,0.00005205,0.00189683
moderate_physical,2027,0.00003655,0.00215800,0.00075000,0.00136000,0.00004800,0.00005479,0.00224934
moderate_physical,2028,0.00003740,0.00250729,0.00100000,0.00144329,0.00006400,0.00005753,0.00260222
moderate_physical,2029,0.00003825,0.00285694,0.00125000,0.00152694,0.00008000,0.00006027,0.00295546
moderate_physical,2030,0.00003910,0.00320696,0.00150000,0.00161096,0.00009600,0.00006301,0.00330907
moderate_physical,2031,0.00003944,0.00338519,0.00160500,0.00167699,0.00010320,0.00006449,0.00348913
moderate_physical,2032,0.00003978,0.00356355,0.00171000,0.00174315,0.00011040,0.00006597,0.00366930
moderate_physical,2033,0.00004012,0.00374203,0.00181500,0.00180943,0.00011760,0.00006745,0.00384960
moderate_physical,2034,0.00004046,0.00392063,0.00192000,0.00187583,0.00012480,0.00006893,0.00403002
moderate_physical,2035,0.00004080,0.00409936,0.00202500,0.00194236,0.00013200,0.00007041,0.00421057
moderate_physical,2036,0.00004114,0.00427820,0.00213000,0.00200900,0.00013920,0.00007189,0.00439123
moderate_physical,2037,0.00004148,0.00445717,0.00223500,0.00207577,0.00014640,0.00007337,0.00457202
moderate_physical,2038,0.00004182,0.00463627,0.00234000,0.00214267,0.00015360,0.00007520,0.00475329
moderate_physical,2039,0.00004216,0.00481548,0.00244500,0.00220968,0.00016080,0.00007727,0.00493491
moderate_physical,2040,0.00004250,0.00499482,0.00255000,0.00227682,0.00016800,0.00007934,0.00511666
moderate_physical,2041,0.00004284,0.00517428,0.00265500,0.00234408,0.00017520,0.00008141,0.00529854
moderate_physical,2042,0.00004318,0.00535387,0.00276000,0.00241147,0.00018240,0.00008348,0.00548053
moderate_physical,2043,0.00004352,0.00553357,0.00286500,0.00247897,0.00018960,0.00008556,0.00566265
moderate_physical,2044,0.00004386,0.00571340,0.00297000,0.00254660,0.00019680,0.00008763,0.00584489
moderate_physical,2045,0.00004420,0.00589336,0.00307500,0.00261436,0.00020400,0.00008970,0.00602725
moderate_physical,2046,0.00004454,0.00607343,0.00318000,0.00268223,0.00021120,0.00009177,0.00620974
moderate_physical,2047,0.00004488,0.00625363,0.00328500,0.00275023,0.00021840,0.00009384,0.00639235
moderate_physical,2048,0.00004522,0.00643395,0.00339000,0.00281835,0.00022560,0.00009591,0.00657508
moderate_physical,2049,0.00004556,0.00661439,0.00349500,0.00288659,0.00023280,0.00009798,0.00675794
moderate_physical,2050,0.00004590,0.00679496,0.00360000,0.00295496,0.00024000,0.00010005,0.00694091
moderate_physical,2051,0.00004607,0.00689048,0.00365100,0.00299564,0.00024384,0.00010199,0.00703854
moderate_physical,2052,0.00004624,0.00698603,0.00370200,0.00303635,0.00024768,0.00010392,0.00713619
moderate_physical,2053,0.00004641,0.00708162,0.00375300,0.00307710,0.00025152,0.00010585,0.00723388
moderate_physical,2054,0.00004658,0.00717724,0.00380400,0.00311788,0.00025536,0.00010779,0.00733160
high_physical,2025,0.00003513,0.00159375,0.00032500,0.00124875,0.00002000,0.00004932,0.00167820
high_physical,2026,0.00003627,0.00207603,0.00065000,0.00138603,0.00004000,0.00005205,0.00216435
high_physical,2027,0.00003740,0.00255916,0.00097500,0.00152416,0.00006000,0.00005479,0.00265136
high_physical,2028,0.00003853,0.00304315,0.00130000,0.00166315,0.00008000,0.00005753,0.00313922
high_physical,2029,0.00003967,0.00352798,0.00162500,0.00180298,0.00010000,0.00006027,0.00362792
high_physical,2030,0.00004080,0.00401367,0.00195000,0.00194367,0.00012000,0.00006301,0.00411748
high_physical,2031,0.00004131,0.00429030,0.00210750,0.00205200,0.00013080,0.00006449,0.00439611
high_physical,2032,0.00004182,0.00456725,0.00226500,0.00216065,0.00014160,0.00006597,0.00467504
high_physical,2033,0.00004233,0.00484451,0.00242250,0.00226961,0.00015240,0.00006745,0.00495429
high_physical,2034,0.00004284,0.00512208,0.00258000,0.00237888,0.00016320,0.00006893,0.00523385
high_physical,2035,0.00004335,0.00539997,0.00273750,0.00248847,0.00017400,0.00007041,0.00551373
high_physical,2036,0.00004386,0.00567816,0.00289500,0.00259836,0.00018480,0.00007189,0.00579392
high_physical,2037,0.00004437,0.00595668,0.00305250,0.00270858,0.00019560,0.00007337,0.00607442
high_physical,2038,0.00004488,0.00623550,0.00321000,0.00281910,0.00020640,0.00007520,0.00635558
high_physical,2039,0.00004539,0.00651464,0.00336750,0.00292994,0.00021720,0.00007727,0.00663730
high_physical,2040,0.00004590,0.00679410,0.00352500,0.00304110,0.00022800,0.00007934,0.00691934
high_physical,2041,0.00004641,0.00707386,0.00368250,0.00315256,0.00023880,0.00008141,0.00720169
high_physical,2042,0.00004692,0.00735394,0.00384000,0.00326434,0.00024960,0.00008348,0.00748435
high_physical,2043,0.00004743,0.00763434,0.00399750,0.00337644,0.00026040,0.00008556,0.00776732
high_physical,2044,0.00004794,0.00791504,0.00415500,0.00348884,0.00027120,0.00008763,0.00805061
high_physical,2045,0.00004845,0.00819606,0.00431250,0.00360156,0.00028200,0.00008970,0.00833421
high_physical,2046,0.00004896,0.00847740,0.00447000,0.00371460,0.00029280,0.00009177,0.00861812
high_physical,2047,0.00004947,0.00875904,0.00462750,0.00382794,0.00030360,0.00009384,0.00890235
high_physical,2048,0.00004998,0.00904100,0.00478500,0.00394160,0.00031440,0.00009591,0.00918689
high_physical,2049,0.00005049,0.00932328,0.00494250,0.00405558,0.00032520,0.00009798,0.00947175
high_physical,2050,0.00005100,0.00960586,0.00510000,0.00416986,0.00033600,0.00010005,0.00975692
high_physical,2051,0.00005148,0.00984871,0.00524400,0.00425863,0.00034608,0.00010199,0.01000217
high_physical,2052,0.00005195,0.01009176,0.00538800,0.00434760,0.00035616,0.00010392,0.01024763
high_physical,2053,0.00005243,0.01033502,0.00553200,0.00443678,0.00036624,0.00010585,0.01049330
high_physical,2054,0.00005290,0.01057850,0.00567600,0.00452618,0.00037632,0.00010779,0.01073919
severe_drought,2025,0.00003513,0.00159375,0.00032500,0.00124875,0.00002000,0.00004932,0.00167820
severe_drought,2026,0.00003627,0.00207603,0.00065000,0.00138603,0.00004000,0.00005205,0.00216435
severe_drought,2027,0.00003740,0.00255916,0.00097500,0.00152416,0.00006000,0.00005479,0.00265136
severe_drought,2028,0.00003853,0.00304315,0.00130000,0.00166315,0.00008000,0.00005753,0.00313922
severe_drought,2029,0.00003967,0.00352798,0.00162500,0.00180298,0.00010000,0.00006027,0.00362792
severe_drought,2030,0.00004080,0.00401367,0.00195000,0.00194367,0.00012000,0.00006301,0.00411748
severe_drought,2031,0.00004131,0.00429030,0.00210750,0.00205200,0.00013080,0.00006449,0.00439611
severe_drought,2032,0.00004182,0.00456725,0.00226500,0.00216065,0.00014160,0.00006597,0.00467504
severe_drought,2033,0.00004233,0.00484451,0.00242250,0.00226961,0.00015240,0.00006745,0.00495429
severe_drought,2034,0.00004284,0.00512208,0.00258000,0.00237888,0.00016320,0.00006893,0.00523385
severe_drought,2035,0.00004335,0.00539997,0.00273750,0.00248847,0.00017400,0.00007041,0.00551373
severe_drought,2036,0.00004386,0.00567816,0.00289500,0.00259836,0.00018480,0.00007189,0.00579392
severe_drought,2037,0.00004437,0.00595668,0.00305250,0.00270858,0.00019560,0.00007337,0.00607442
severe_drought,2038,0.00004488,0.00623550,0.00321000,0.00281910,0.00020640,0.00007520,0.00635558
severe_drought,2039,0.00004539,0.00651464,0.00336750,0.00292994,0.00021720,0.00007727,0.00663730
severe_drought,2040,0.00004590,0.00679410,0.00352500,0.00304110,0.00022800,0.00007934,0.00691934
severe_drought,2041,0.00004641,0.00707386,0.00368250,0.00315256,0.00023880,0.00008141,0.00720169
severe_drought,2042,0.00004692,0.00735394,0.00384000,0.00326434,0.00024960,0.00008348,0.00748435
severe_drought,2043,0.00004743,0.00763434,0.00399750,0.00337644,0.00026040,0.00008556,0.00776732
severe_drought,2044,0.00004794,0.00791504,0.00415500,0.00348884,0.00027120,0.00008763,0.00805061
severe_drought,2045,0.00004845,0.00819606,0.00431250,0.00360156,0.00028200,0.00008970,0.00833421
severe_drought,2046,0.00004896,0.00847740,0.00447000,0.00371460,0.00029280,0.00009177,0.00861812
severe_drought,2047,0.00004947,0.00875904,0.00462750,0.00382794,0.00030360,0.00009384,0.00890235
severe_drought,2048,0.00004998,0.00904100,0.00478500,0.00394160,0.00031440,0.00009591,0.00918689
severe_drought,2049,0.00005049,0.00932328,0.00494250,0.00405558,0.00032520,0.00009798,0.00947175
severe_drought,2050,0.00005100,0.00960586,0.00510000,0.00416986,0.00033600,0.00010005,0.00975692
severe_drought,2051,0.00005148,0.00984871,0.00524400,0.00425863,0.00034608,0.00010199,0.01000217
severe_drought,2052,0.00005195,0.01009176,0.00538800,0.00434760,0.00035616,0.00010392,0.01024763
severe_drought,2053,0.00005243,0.01033502,0.00553200,0.00443678,0.00036624,0.00010585,0.01049330
severe_drought,2054,0.00005290,0.01057850,0.00567600,0.00452618,0.00037632,0.00010779,0.01073919
