year,revenue,fuel_costs,variable_opex,fixed_opex,carbon_costs,outage_costs,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor
2025,540952776.0,205562054.88,30428593.650000002,88200000.0,0.0,27047638.800000004,351238287.33,189714488.67000002,163333333.33333334,26381155.336666673,209230000.0,0.0,-182848844.66333333,0.0,183383011.38920003,0.367575
2026,549094115.2787999,207617675.4288,30732879.586499996,88200000.0,0.0,27318115.187999997,353868670.2033,195225445.0754999,163333333.33333334,31892111.74216655,203603040.24028915,0.0,-171710928.4981226,0.0,187571338.25737992,0.37125074999999996
2027,557371777.3619158,209693852.18308797,31040208.382364996,88200000.0,0.0,27591296.33988,356525356.9053329,200846420.4565829,163333333.33333334,37513087.12324956,197632835.93523595,0.0,-160119748.8119864,0.0,191843279.547003,0.3749632575
2028,565788229.1565626,211790790.70491892,31350610.466188654,88200000.0,0.0,27867209.303278808,359208610.4743864,206579618.68217617,163333333.33333334,43246285.34884283,191298449.1675745,0.0,-148052163.81873167,0.0,196200510.1984539,0.37871289007500003
2029,574345984.4229782,213908698.61196804,31664116.570850533,88200000.0,0.0,28145881.39631159,361918696.5791301,212427287.84384805,163333333.33333334,49093954.51051471,184577664.8070857,0.0,-135483710.296571,0.0,200644738.76132452,0.38250001897575
2030,583047604.6888528,216047785.5980878,31980757.736559045,88200000.0,0.0,28427340.21027471,364655883.5449215,218391721.14393127,163333333.33333334,55058387.81059793,177446912.60060704,0.0,-122388524.79000911,0.0,205177708.06938776,0.38632501916550754
2031,591895700.1818609,218208263.45406866,32300565.313924637,88200000.0,0.0,28711613.612377457,367420442.3803708,224475257.80149013,163333333.33333334,61141924.468156785,169881184.50953323,0.0,-108739260.04137644,0.0,209801195.9291325,0.3901882693571626
2032,600892930.7806661,220390346.08860934,32623570.96706388,88200000.0,0.0,28998729.748501226,370212646.8041745,230680283.97649163,163333333.33333334,67346950.64315829,161853947.00490388,0.0,-94506996.3617456,0.0,214517015.82213366,0.3940901520507342
2033,610042006.9847589,222594249.54949543,32949806.67673452,88200000.0,0.0,29288717.045986243,373032773.27221614,237009233.7125427,163333333.33333334,73675900.37920937,153337048.01249218,0.0,-79661147.63328281,0.0,219327017.62153247,0.3980310535712416
2034,619345690.903508,224820192.04499036,33279304.74350186,88200000.0,0.0,29581604.216446098,375881101.0049383,243464589.89856964,163333333.33333334,80131256.5652363,144300618.18154335,0.0,-64169361.61630705,0.0,224233088.32291293,0.40201136410695393
2035,628806797.2648073,227068393.96544027,33612097.79093688,88200000.0,0.0,29877420.258610565,378757912.0149877,250048885.24981964,163333333.33333334,86715551.9164863,134712966.13090664,0.0,-47997414.21442035,0.0,229237152.78986293,0.4060314777480235
2036,638428194.4437102,229339077.90509468,33948218.76884625,88200000.0,0.0,30176194.461196665,381663491.13513756,256764703.30857265,163333333.33333334,93431369.9752393,124540467.30518109,0.0,-31109097.32994178,0.0,234341174.51451522,0.4100917925255037
2037,648212805.5114481,231632468.68414566,34287700.95653471,88200000.0,0.0,30477956.405808635,384598126.046489,263614679.46495914,163333333.33333334,100281346.1316258,113747446.05108629,0.0,-13466099.91946049,0.0,239547156.39336896,0.4141927104507588
2038,658163609.3052416,233948793.3709871,34630577.96610007,88200000.0,0.0,30782735.969866723,387562107.3069539,270601501.9982877,163333333.33333334,107268168.66495433,102296050.5004917,1193308.3594710338,3778809.804991607,0.0,244857141.51869863,0.4183346375552664
2039,668283641.5193205,236288281.304697,34976883.74576107,88200000.0,0.0,31090563.329565395,390555728.3800235,277727913.139297,163333333.33333334,114394579.80596367,90146119.82131083,5819630.396316679,18428829.588336155,0.0,250273213.9858657,0.4225179839308191
2040,678575995.8175726,238651164.11774394,35326652.58321867,88200000.0,0.0,31401468.962861042,393579285.66382366,284996710.1537489,163333333.33333334,121663376.82041559,77255043.37069994,10658000.027931754,33750333.421783894,0.0,255797499.7168492,0.4267431637701272
2041,689043824.9682571,241037675.75892138,35679919.10905086,88200000.0,0.0,31715483.652489655,396633078.5204619,292410746.44779515,163333333.33333334,129077413.11446181,63577611.256601796,15719952.445886403,49779849.41197361,0.0,261432167.30032432,0.43101059540782855
2042,699690342.0012175,243448052.5165106,36036718.30014137,88200000.0,0.0,32032638.48901455,399717409.30566657,299972932.6955509,163333333.33333334,136639599.36221758,49065855.78354365,21017698.458881743,66556045.119792186,0.0,267179428.8486187,0.4353207013619068
2043,710518821.3880514,245882533.04167572,36397085.483142786,88200000.0,0.0,32352964.873904698,402832583.3987232,307686237.9893282,163333333.33333334,144352904.65599486,33668883.22662895,26564165.143047817,84119856.2863181,0.0,273041540.8718895,0.4396739083755259
2044,721532600.2456868,248341358.37209246,36761056.337974206,88200000.0,0.0,32676494.52264374,405978909.2327104,315553691.01297635,163333333.33333334,152220357.679643,17332695.343742464,32373038.96061613,102514623.37528442,0.0,279020805.16986203,0.4440706474592811
2045,732735079.5638384,250824771.9558134,37128666.901353955,88200000.0,0.0,33003259.467870183,409156698.32503754,323578381.2388008,163333333.33333334,160245047.90546748,0.0,38458811.497312196,121786236.40815529,0.0,285119569.74148864,0.448511353933874
2046,744129725.4568167,253333019.67537156,37499953.5703675,88200000.0,0.0,33333292.062548887,412366265.3082879,331763460.14852875,163333333.33333334,168430126.8151954,0.0,40423230.4356469,128006896.37954852,0.0,291340229.71288186,0.45299646747321276
2047,755720070.440181,255866349.8721252,37874953.10607117,88200000.0,0.0,33666624.98317437,415607927.96137077,340112142.47881025,163333333.33333334,176778809.1454769,0.0,42426914.19491445,134351894.95056245,0.0,297685228.2838958,0.4575264321479448
2048,767509714.7327282,258425013.3708465,38253702.637131885,88200000.0,0.0,34003291.23300612,418882007.2409845,348627707.49174374,163333333.33333334,185294374.1584104,0.0,44470649.79801849,140823724.3603919,0.0,304157057.6937252,0.4621016964694243
2049,779502327.5843226,261009263.504555,38636239.6635032,88200000.0,0.0,34343324.14533618,422188827.3133943,357313500.27092826,163333333.33333334,193980166.93759492,0.0,46555240.06502278,147424926.87257212,0.0,310758260.2059055,0.46672271343411853
2050,791701648.6300882,263619356.1396005,39022602.06013823,88200000.0,0.0,34686757.38678954,425528715.5865283,366172933.0435599,163333333.33333334,202839599.71022657,0.0,48681503.93045437,154158095.7797722,0.0,317491429.11310554,0.4713899405684597
2051,804111489.2714874,266255549.70099655,39412828.08073962,88200000.0,0.0,35033624.96065744,428902002.74239355,375209486.5290938,163333333.33333334,211876153.19576046,0.0,50850276.76698251,161025876.42877793,0.0,324359209.7621113,0.47610383997414435
2052,816735734.0848179,268918105.1980065,39806956.361547016,88200000.0,0.0,35383961.21026401,432309022.76981753,384426711.31500036,163333333.33333334,221093377.981667,0.0,53062410.71560008,168030967.26606694,0.0,331364300.5994003,0.4808648783738858
2053,829578342.2576859,271607286.2499865,40205025.92516248,88200000.0,0.0,35737800.82236665,435750112.9975157,393828229.2601702,163333333.33333334,230494895.92683688,0.0,55318775.02244085,175176120.90439603,0.0,338509454.2377294,0.48567352715762463
2054,842643349.0540063,274323359.1124864,40607076.1844141,88200000.0,0.0,36095178.830590315,439225614.1274908,403417734.9265155,163333333.33333334,240084401.59318218,0.0,57620256.38236372,182464145.21081847,0.0,345797478.5441518,0.4905302624292009
2055,855934867.3081026,277066592.7036113,41013146.946258254,88200000.0,0.0,36456130.61889622,442735870.2687658,413198997.0393368,163333333.33333334,249865663.70600346,0.0,59967759.289440826,189897904.41656262,0.0,353231237.74989593,0.49543556505349295
2056,869457088.9484868,279837258.6306474,41423278.415720835,88200000.0,0.0,36820691.92508519,446281228.9714534,423175859.9770334,163333333.33333334,259842526.64370003,0.0,62362206.39448801,197480320.24921203,0.0,360813653.5825454,0.5003899207040279
2057,883214286.5519178,282635631.21695393,41837511.199878044,88200000.0,0.0,37188898.84433604,449862041.261168,433352245.2907498,163333333.33333334,270018911.9574164,0.0,64804538.86977994,205214373.08763647,0.0,368547706.42096984,0.5053938199110681
2058,897210814.9283333,285461987.5291234,42255886.31187682,88200000.0,0.0,37560787.83277939,453478661.67377967,443732153.2545536,163333333.33333334,280398819.9212203,0.0,67295716.78109287,213103103.14012742,0.0,376436436.4734608,0.5104477581101787
2059,911451112.7372822,288316607.40441465,42678445.174995594,88200000.0,0.0,37936395.711107194,457131448.29051745,454319664.4467647,163333333.33333334,290986331.11343133,0.0,69836719.46722353,221149611.6462078,0.0,384482944.9795412,0.5155522356912806
