year,revenue,fuel_costs,variable_opex,fixed_opex,carbon_costs,outage_costs,total_costs,ebitda,depreciation,ebit,interest_expense,tax_expense,net_income,capex,free_cash_flow,capacity_factor
2025,1225909440.0,465845587.20000005,68957406.0,88200000.0,0.0,25018560.0,623002993.2,602906446.8,163333333.33333334,439573113.4666666,209230000.0,55282347.23199998,175060766.2346666,0.0,497408899.56799996,0.85
2026,1244359377.0719998,470504043.07199997,69646980.05999999,88200000.0,0.0,25395089.327999994,628351023.132,616008353.9399998,163333333.33333334,452675020.60666645,203603040.24028915,59777275.28793055,189294705.07844675,0.0,507366348.9943999,0.8584999999999999
2027,1263118249.4524271,475209083.50272,70343449.8606,88200000.0,0.0,25777923.4582128,633752533.36332,629365716.0891072,163333333.33333334,466032382.7557738,197632835.93523595,64415891.23692908,203983655.58360875,0.0,517517944.22772145,0.867085
2028,1282191647.656714,479961174.3377472,71046884.359206,88200000.0,0.0,26167176.48279008,639208058.6969532,642983588.9597608,163333333.33333334,479650255.6264274,191298449.1675745,69204433.55012469,219147372.90872818,0.0,527867527.60941815,0.8757558500000001
2029,1301585268.3788092,484760786.0811247,71757353.20279805,88200000.0,0.0,26562964.660792027,644718139.2839228,656867129.0948864,163333333.33333334,493533795.76155305,184577664.8070857,74149471.42907216,234806659.5253952,0.0,538419018.1121137,0.8845134085
2030,1321304916.5634615,489608393.941936,72474926.73482604,88200000.0,0.0,26965406.460478812,650283320.6767621,671021595.8866994,163333333.33333334,507688262.55336607,177446912.60060704,79257923.98866217,250983425.96409684,0.0,549176412.8738916,0.8933585425850001
2031,1341356507.519527,494504477.8813553,73199676.0021743,88200000.0,0.0,27374622.602439325,655904153.8835295,685452353.6359974,163333333.33333334,522119020.30266404,169881184.50953323,84537080.59035139,267700755.2027794,0.0,560143788.763358,0.9022921280108501
2032,1361746069.0751407,499449522.6601689,73931672.76219603,88200000.0,0.0,27790736.1035743,661581195.422365,700164873.6527758,163333333.33333334,536831540.3194424,161853947.00490388,89994622.39548923,284982970.91904926,0.0,571325303.9761096,0.9113150492909585
2033,1382479743.7755673,504444017.88677055,74670989.489818,88200000.0,0.0,28213872.32195035,667315007.3765886,715164736.3989787,163333333.33333334,551831403.0656453,153337048.01249218,95638645.21275675,302855709.8403964,0.0,582725199.6632239,0.9204281997838681
2034,1403563791.1245925,509488458.0656382,75417699.38471618,88200000.0,0.0,28644159.002542708,673106157.4503543,730457633.6742382,163333333.33333334,567124300.3409048,144300618.18154335,101477683.71824676,321345998.4411147,0.0,594347801.592421,0.9296324817817068
2035,1425004589.8703244,514583342.6462946,76171876.37856334,88200000.0,0.0,29081726.323884174,678955219.024858,746049370.8454664,163333333.33333334,582716037.512133,134712966.13090664,107520737.13149433,340482334.249732,0.0,606197521.8425545,0.9389288065995238
2036,1446808640.336287,519729176.07275766,76933595.14234899,88200000.0,0.0,29526706.94563851,684862771.2151066,761945869.1211804,163333333.33333334,598612535.787847,124540467.30518109,113777296.43583983,360294772.0468261,0.0,618278860.5320971,0.9483180946655191
2037,1468982566.798711,524926467.83348507,77702931.09377246,88200000.0,0.0,29979236.057116557,690829398.9272575,778153167.8714535,163333333.33333334,614819834.5381202,113747446.05108629,120257373.23688813,380815015.25014573,0.0,630596407.5823047,0.9578012756121743
