scenario,display_name,year,dscr,rating,spread_bps,cost_of_debt,ebitda,debt_service
baseline,Baseline (No Risk),2025,1.8078878521900137,BBB,250,0.060000000000000005,599497668.0,301475241.96247303
baseline,Baseline (No Risk),2026,1.836669962263083,BBB,250,0.060000000000000005,612691831.0799998,301475241.96247303
baseline,Baseline (No Risk),2027,1.8658315339703087,BBB,250,0.060000000000000005,626144911.23744,301475241.96247303
baseline,Baseline (No Risk),2028,1.895368860030702,BBB,250,0.060000000000000005,639862049.849572,301475241.96247303
baseline,Baseline (No Risk),2029,1.9252774753261348,BBB,250,0.060000000000000005,653848491.0067699,301475241.96247303
baseline,Baseline (No Risk),2030,1.9555521000670595,BBB,250,0.060000000000000005,668109583.5707808,301475241.96247303
baseline,Baseline (No Risk),2031,1.9861865792789464,BBB,250,0.060000000000000005,682650783.2742751,301475241.96247303
baseline,Baseline (No Risk),2032,2.0171738183807837,A,150,0.05,697477654.8625468,301475241.96247303
baseline,Baseline (No Risk),2033,2.0485057146128605,A,150,0.05,712595874.2781879,301475241.96247303
baseline,Baseline (No Risk),2034,2.08017308405623,A,150,0.05,728011230.8896122,301475241.96247303
baseline,Baseline (No Risk),2035,2.1121655839704294,A,150,0.05,743729629.7643102,301475241.96247303
baseline,Baseline (No Risk),2036,2.1444716301592432,A,150,0.05,759757093.9877281,301475241.96247303
baseline,Baseline (No Risk),2037,2.177078309056513,A,150,0.05,776099767.0286884,301475241.96247303
baseline,Baseline (No Risk),2038,2.2099712842051282,A,150,0.05,792763915.1522899,301475241.96247303
baseline,Baseline (No Risk),2039,2.2431346967822803,A,150,0.05,809755929.8812393,301475241.96247303
baseline,Baseline (No Risk),2040,2.276551059802794,A,150,0.05,827082330.5065839,301475241.96247303
baseline,Baseline (No Risk),2041,2.310201145609835,A,150,0.05,844749766.6488459,301475241.96247303
baseline,Baseline (No Risk),2042,2.3282062464994433,A,150,0.05,856474652.781461,301475241.96247303
baseline,Baseline (No Risk),2043,2.337917862353604,A,150,0.05,865189238.5092757,301475241.96247303
baseline,Baseline (No Risk),2044,2.3471014719089194,A,150,0.05,873990970.0943682,301475241.96247303
moderate_transition,Moderate Transition,2025,1.2735069822011815,BB,400,0.07500000000000001,387520560.0,301475241.96247303
moderate_transition,Moderate Transition,2026,1.1879485916278993,BB,400,0.07500000000000001,358137089.1,301475241.96247303
moderate_transition,Moderate Transition,2027,1.088562602582306,BB,400,0.07500000000000001,328174674.0048001,301475241.96247303
moderate_transition,Moderate Transition,2028,0.9872313355334758,B,600,0.095,297625805.75289,301475241.96247303
moderate_transition,Moderate Transition,2029,0.8839296524249368,B,600,0.095,266482905.8426125,301475241.96247303
moderate_transition,Moderate Transition,2030,0.7786321839278737,B,600,0.095,234738326.04942453,301475241.96247303
moderate_transition,Moderate Transition,2031,0.6482376299377735,B,600,0.095,195427596.3346703,301475241.96247303
moderate_transition,Moderate Transition,2032,0.5153343418897343,B,600,0.095,155360545.41277945,301475241.96247303
moderate_transition,Moderate Transition,2033,0.37988933071311193,B,600,0.095,114527227.89569736,301475241.96247303
moderate_transition,Moderate Transition,2034,0.2418692817669763,B,600,0.095,72917600.24398875,301475241.96247303
moderate_transition,Moderate Transition,2035,0.10124055330269296,B,600,0.095,30521520.30334401,301475241.96247303
moderate_transition,Moderate Transition,2036,-0.04203082503799989,B,600,0.095,-12671253.148213387,301475241.96247303
moderate_transition,Moderate Transition,2037,-0.18797915368790985,B,600,0.095,-56671060.84196353,301475241.96247303
moderate_transition,Moderate Transition,2038,-0.33663906458071396,B,600,0.095,-101488343.44849133,301475241.96247303
moderate_transition,Moderate Transition,2039,-0.48804552253703737,B,600,0.095,-147133641.99555492,301475241.96247303
moderate_transition,Moderate Transition,2040,-0.6422338266086701,B,600,0.095,-193617598.2733338,301475241.96247303
moderate_transition,Moderate Transition,2041,-0.8247295389861051,B,600,0.095,-248635537.31943488,301475241.96247303
moderate_transition,Moderate Transition,2042,-1.0105885019851435,B,600,0.095,-304667413.1604643,301475241.96247303
moderate_transition,Moderate Transition,2043,-1.1998546719498004,B,600,0.095,-361726477.5458698,301475241.96247303
moderate_transition,Moderate Transition,2044,-1.392572446338055,B,600,0.095,-419826115.2100382,301475241.96247303
aggressive_transition,Aggressive Transition,2025,0.6220054647915068,B,600,0.095,187519248.0,301475241.96247303
aggressive_transition,Aggressive Transition,2026,0.43516730205105975,B,600,0.095,131192167.67999983,301475241.96247303
aggressive_transition,Aggressive Transition,2027,0.24465031082393476,B,600,0.095,73756011.65183997,301475241.96247303
aggressive_transition,Aggressive Transition,2028,0.05040260112478233,B,600,0.095,15195136.369631767,301475241.96247303
aggressive_transition,Aggressive Transition,2029,-0.14762832659296343,B,600,0.095,-44506285.480128646,301475241.96247303
aggressive_transition,Aggressive Transition,2030,-0.34949558722616475,B,600,0.095,-105364266.72382462,301475241.96247303
aggressive_transition,Aggressive Transition,2031,-0.5921740351433031,B,600,0.095,-178525810.52872133,301475241.96247303
aggressive_transition,Aggressive Transition,2032,-0.8395353374946067,B,600,0.095,-253099119.00723302,301475241.96247303
aggressive_transition,Aggressive Transition,2033,-1.0916455665998732,B,600,0.095,-329104111.32795775,301475241.96247303
aggressive_transition,Aggressive Transition,2034,-1.348571581269679,B,600,0.095,-406560943.7669914,301475241.96247303
aggressive_transition,Aggressive Transition,2035,-1.6103810345878928,B,600,0.095,-485490012.0541626,301475241.96247303
aggressive_transition,Aggressive Transition,2036,-1.87714238174425,B,600,0.095,-565911953.7343607,301475241.96247303
aggressive_transition,Aggressive Transition,2037,-2.148924887916685,B,600,0.095,-647847650.5438629,301475241.96247303
aggressive_transition,Aggressive Transition,2038,-2.4257986362030644,B,600,0.095,-731318230.8015559,301475241.96247303
aggressive_transition,Aggressive Transition,2039,-2.7078345356019513,B,600,0.095,-816345071.814939,301475241.96247303
aggressive_transition,Aggressive Transition,2040,-2.9951043290420585,B,600,0.095,-902949802.3008051,301475241.96247303
aggressive_transition,Aggressive Transition,2041,-3.3284644856310015,B,600,0.095,-1003449636.1691046,301475241.96247303
aggressive_transition,Aggressive Transition,2042,-3.668020233950941,B,600,0.095,-1105817287.553607,301475241.96247303
aggressive_transition,Aggressive Transition,2043,-4.013858102543095,B,600,0.095,-1210078842.6672125,301475241.96247303
aggressive_transition,Aggressive Transition,2044,-4.366065649610048,B,600,0.095,-1316260698.1402314,301475241.96247303
high_physical,High Physical (RCP 8.5),2025,1.4196907345554988,BB,400,0.07500000000000001,445508431.20000005,301475241.96247303
high_physical,High Physical (RCP 8.5),2026,1.443316855291993,BB,400,0.07500000000000001,456657326.9999999,301475241.96247303
high_physical,High Physical (RCP 8.5),2027,1.4672452700042566,BB,400,0.07500000000000001,468034529.16890883,301475241.96247303
high_physical,High Physical (RCP 8.5),2028,1.4813518479986114,BB,400,0.07500000000000001,475630630.2720001,301475241.96247303
high_physical,High Physical (RCP 8.5),2029,1.4912912473205722,BB,400,0.07500000000000001,481695723.77471995,301475241.96247303
high_physical,High Physical (RCP 8.5),2030,1.5010571744460233,BBB,250,0.060000000000000005,487821468.21246743,301475241.96247303
high_physical,High Physical (RCP 8.5),2031,1.5106312498154235,BBB,250,0.060000000000000005,494008470.09459186,301475241.96247303
high_physical,High Physical (RCP 8.5),2032,1.5199938947385483,BBB,250,0.060000000000000005,500257341.99553776,301475241.96247303
high_physical,High Physical (RCP 8.5),2033,1.5291242574677368,BBB,250,0.060000000000000005,506568702.61549306,301475241.96247303
high_physical,High Physical (RCP 8.5),2034,1.5380001347538172,BBB,250,0.060000000000000005,512943176.84164834,301475241.96247303
high_physical,High Physical (RCP 8.5),2035,1.5465978886090612,BBB,250,0.060000000000000005,519381395.81006455,301475241.96247303
high_physical,High Physical (RCP 8.5),2036,1.5548923579847376,BBB,250,0.060000000000000005,525883996.96816516,301475241.96247303
high_physical,High Physical (RCP 8.5),2037,1.5628567650529448,BBB,250,0.060000000000000005,532451624.13784695,301475241.96247303
