scenario,ssp,wildfire_scale,description,color
baseline,ssp126,0.30,Baseline — low physical risk acceleration (SSP1-2.6),#22c55e
moderate_physical,ssp245,0.60,Moderate physical risk — mid-range warming (SSP2-4.5),#f59e0b
high_physical,ssp585,1.00,High physical risk — worst-case warming (SSP5-8.5 / RCP8.5),#ef4444
severe_drought,ssp585,1.00,High physical risk with severe drought emphasis (SSP5-8.5),#7c3aed
