scenario,year,wildfire,tropical_cyclone,river_flood,coastal_flood,drought,heat_stress,slr_meters,source
RCP4.5,2024,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Baseline (current climate)
RCP4.5,2030,1.0,1.02,1.05,1.10,1.08,1.15,0.05,Baseline (current climate)
RCP4.5,2050,1.0,1.05,1.15,1.25,1.20,1.50,0.15,Baseline (current climate)
RCP4.5,2100,1.0,1.10,1.25,1.50,1.35,2.00,0.40,Baseline (current climate)
RCP8.5,2024,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Baseline (current climate)
RCP8.5,2030,1.1,1.03,1.08,1.15,1.12,1.20,0.07,WWA
RCP8.5,2050,1.3,1.10,1.30,1.50,1.40,2.50,0.25,WWA
RCP8.5,2100,2.0,1.20,1.50,2.50,1.80,5.00,0.80,WWA
SSP1-2.6,2024,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Baseline (current climate)
SSP1-2.6,2030,1.0,1.01,1.04,1.08,1.06,1.12,0.04,Baseline (current climate)
SSP1-2.6,2050,1.0,1.03,1.10,1.18,1.15,1.35,0.12,Baseline (current climate)
SSP1-2.6,2100,1.0,1.05,1.15,1.30,1.25,1.50,0.30,Baseline (current climate)
SSP2-4.5,2024,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Baseline (current climate)
SSP2-4.5,2030,1.0,1.02,1.05,1.10,1.08,1.15,0.05,IPCC AR6 WG1 Chapter 4
SSP2-4.5,2050,1.0,1.06,1.18,1.30,1.22,1.60,0.18,IPCC AR6 WG1 Chapter 4
SSP2-4.5,2100,1.0,1.12,1.30,1.60,1.40,2.20,0.50,IPCC AR6 WG1 Chapter 4
SSP5-8.5,2024,1.0,1.0,1.0,1.0,1.0,1.0,0.0,Baseline (current climate)
SSP5-8.5,2030,1.1,1.03,1.08,1.15,1.12,1.20,0.07,WWA
SSP5-8.5,2050,1.3,1.12,1.35,1.55,1.45,2.60,0.28,WWA
SSP5-8.5,2100,2.0,1.25,1.60,2.80,2.00,5.50,0.90,WWA
