scenario,ref_year,total_outage_rate_pct,capacity_derate_pct,npv_physical_loss_krw,npv_physical_loss_pct_baseline,credit_rating_change,crp_bps
baseline,2030,0.13548491258809345,0.0,44492343.7534678,3.5082051678015804,A→A,0.0
baseline,2040,0.13548491258809345,0.0,18876015.230974354,1.4883669547222766,A→A,0.0
baseline,2050,0.13548491258809345,0.0,7010698.670717422,0.5527910474393376,A→A,0.0
moderate_physical,2030,0.13548491258809345,0.0,44492343.7534678,3.5082051678015804,A→A,0.0
moderate_physical,2040,0.13548491258809345,0.0,18876015.230974354,1.4883669547222766,A→A,0.0
moderate_physical,2050,0.13548491258809345,0.0,7010698.670717422,0.5527910474393376,A→A,0.0
high_physical,2030,0.14903340384690278,0.0,53529843.56370121,4.2208087499807165,A→A,0.0
high_physical,2040,0.16258189510571214,0.0,24360386.17869871,1.9208076147953441,A→A,0.0
high_physical,2050,0.17613038636452147,0.0,9662829.165826205,0.7619105750636744,A→A,0.0
severe_drought,2030,0.14903340384690278,0.0,53529843.56370121,4.2208087499807165,A→A,0.0
severe_drought,2040,0.16258189510571214,0.0,24360386.17869871,1.9208076147953441,A→A,0.0
severe_drought,2050,0.17613038636452147,0.0,9662829.165826205,0.7619105750636744,A→A,0.0
