year,scenario,wildfire_freq_per_year,wildfire_climate_factor,drought_impact_mean,outage_prob_per_event
2025,ssp126,0.75,1.0,0.0,0.3296799539643607
2026,ssp126,0.75,1.0,0.0,0.3296799539643607
2027,ssp126,0.75,1.0,0.0,0.3296799539643607
2028,ssp126,0.75,1.0,0.0,0.3296799539643607
2029,ssp126,0.75,1.0,0.0,0.3296799539643607
2030,ssp126,0.75,1.0,0.0,0.3296799539643607
2031,ssp126,0.75,1.0,0.0,0.3296799539643607
2032,ssp126,0.75,1.0,0.0,0.3296799539643607
2033,ssp126,0.75,1.0,0.0,0.3296799539643607
2034,ssp126,0.75,1.0,0.0,0.3296799539643607
2035,ssp126,0.75,1.0,0.0,0.3296799539643607
2036,ssp126,0.75,1.0,0.0,0.3296799539643607
2037,ssp126,0.75,1.0,0.0,0.3296799539643607
2038,ssp126,0.75,1.0,0.0,0.3296799539643607
2039,ssp126,0.75,1.0,0.0,0.3296799539643607
2040,ssp126,0.75,1.0,0.0,0.3296799539643607
2041,ssp126,0.75,1.0,0.0,0.3296799539643607
2042,ssp126,0.75,1.0,0.0,0.3296799539643607
2043,ssp126,0.75,1.0,0.0,0.3296799539643607
2044,ssp126,0.75,1.0,0.0,0.3296799539643607
2045,ssp126,0.75,1.0,0.0,0.3296799539643607
2046,ssp126,0.75,1.0,0.0,0.3296799539643607
2047,ssp126,0.75,1.0,0.0,0.3296799539643607
2048,ssp126,0.75,1.0,0.0,0.3296799539643607
2049,ssp126,0.75,1.0,0.0,0.3296799539643607
2050,ssp126,0.75,1.0,0.0,0.3296799539643607
2051,ssp126,0.75,1.0,0.0,0.3296799539643607
2052,ssp126,0.75,1.0,0.0,0.3296799539643607
2053,ssp126,0.75,1.0,0.0,0.3296799539643607
2054,ssp126,0.75,1.0,0.0,0.3296799539643607
2055,ssp126,0.75,1.0,0.0,0.3296799539643607
2056,ssp126,0.75,1.0,0.0,0.3296799539643607
2057,ssp126,0.75,1.0,0.0,0.3296799539643607
2058,ssp126,0.75,1.0,0.0,0.3296799539643607
2059,ssp126,0.75,1.0,0.0,0.3296799539643607
2060,ssp126,0.75,1.0,0.0,0.3296799539643607
2061,ssp126,0.75,1.0,0.0,0.3296799539643607
2062,ssp126,0.75,1.0,0.0,0.3296799539643607
2063,ssp126,0.75,1.0,0.0,0.3296799539643607
2025,ssp245,0.75,1.0,0.0,0.3296799539643607
2026,ssp245,0.75,1.0,0.0,0.3296799539643607
2027,ssp245,0.75,1.0,0.0,0.3296799539643607
2028,ssp245,0.75,1.0,0.0,0.3296799539643607
2029,ssp245,0.75,1.0,0.0,0.3296799539643607
2030,ssp245,0.75,1.0,0.0,0.3296799539643607
2031,ssp245,0.75,1.0,0.0,0.3296799539643607
2032,ssp245,0.75,1.0,0.0,0.3296799539643607
2033,ssp245,0.75,1.0,0.0,0.3296799539643607
2034,ssp245,0.75,1.0,0.0,0.3296799539643607
2035,ssp245,0.75,1.0,0.0,0.3296799539643607
2036,ssp245,0.75,1.0,0.0,0.3296799539643607
2037,ssp245,0.75,1.0,0.0,0.3296799539643607
2038,ssp245,0.75,1.0,0.0,0.3296799539643607
2039,ssp245,0.75,1.0,0.0,0.3296799539643607
