year,ch1_outage_revenue_loss_krw,ch2_ch3_derate_water_revenue_loss_krw,ch4_efficiency_fuel_cost_krw,ch5_capex_damage_loss_krw,total_physical_impact_krw,total_physical_impact_pct_revenue
2025,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2026,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2027,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2028,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2029,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2030,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2031,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2032,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2033,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2034,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2035,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2036,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2037,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2038,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2039,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2040,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2041,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2042,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2043,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2044,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2045,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2046,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2047,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2048,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2049,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2050,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2051,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2052,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2053,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2054,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2055,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2056,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2057,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2058,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2059,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2060,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2061,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2062,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2063,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
2064,1377536.7931204825,0.0,0.0,3816250.0,5193786.793120483,0.5881924957781224
