phase,year,cumulative_capacity_gw,addition_gw,unit_type,source
0,2024,24.7,0.0,existing,11th Basic Plan baseline
1,2028,25.7,1.0,large_unit,11th Basic Plan - Shin Hanul 3
2,2032,28.1,2.4,large_unit,11th Basic Plan - Shin Hanul 4
3,2035,30.1,2.0,smr,11th Basic Plan - SMR deployment
