year,solar_gw,wind_gw,hydro_gw,grid_stability_gw,battery_gw,source
2024,25.0,1.7,6.5,0.0,0.0,11th Basic Plan baseline
2030,39.0,10.0,6.5,15.0,20.0,11th Basic Plan target
2035,58.0,25.0,6.5,18.0,27.0,11th Basic Plan interpolation
2038,77.2,40.7,6.5,21.5,35.0,11th Basic Plan target
