field,value
outage_rate,0.0
capacity_derate,0.0
efficiency_loss,0.0
water_constrained_capacity,1.0
transmission_outage_rate,0.0
asset_capex_loss_rate,0.0
notes,PLANiT (ssp245 y2040): wildfire_frequency_missing
