field,value
outage_rate,0.0
capacity_derate,0.0
efficiency_loss,0.0
water_constrained_capacity,1.0
notes,"PLANiT (ssp126 y2024): wildfire_event_freq=0.000000/yr, wildfire_outage_prob=0.100, wildfire_outage_duration_h=24.0, wildfire_freq_source=event_count/20y, drought_metric=impact_mean, drought_impact=0.000000, water_risk_metric=impact_mean, water_risk_impact=0.000000"
