year,plant_outage_rate,capacity_derate,efficiency_loss,water_constrained_capacity,transmission_outage_rate,asset_capex_loss_rate
2025,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2026,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2027,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2028,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2029,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2030,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2031,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2032,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2033,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2034,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2035,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2036,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2037,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2038,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2039,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2040,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2041,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2042,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2043,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2044,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2045,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2046,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2047,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2048,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2049,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2050,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2051,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2052,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2053,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2054,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2055,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2056,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2057,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2058,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2059,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2060,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2061,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2062,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2063,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
2064,0.0013548491258809343,0.0,0.0,1.0,0.00020547945205479456,0.001075
