year,outage_rate,capacity_derate,efficiency_loss,water_constrained_capacity
2025,0.00030737777777777785,0.0,0.0008765,1.0
2026,0.0003271644444444445,0.0,0.001205,1.0
2027,0.00034736,0.0,0.0015335000000000001,1.0
2028,0.0003679644444444445,0.0,0.001862,1.0
2029,0.00038897777777777777,0.0,0.0021905,1.0
2030,0.00041040000000000006,0.0,0.002519,1.0
2031,0.00041322300000000005,0.0,0.0026301,1.0
2032,0.0004160520000000001,0.0,0.0027412,1.0
2033,0.00041888700000000006,0.0,0.0028523,1.0
2034,0.00042172800000000007,0.0,0.0029634,1.0
2035,0.00042457500000000006,0.0,0.0030745,1.0
2036,0.00042742800000000004,0.0,0.0031856000000000002,1.0
2037,0.00043028700000000006,0.0,0.0032967,1.0
2038,0.00043315200000000007,0.0,0.0034078,1.0
2039,0.00043602300000000006,0.0,0.0035189,1.0
2040,0.0004389000000000001,0.0,0.00363,1.0
