year,outage_rate,capacity_derate,efficiency_loss,water_constrained_capacity
2025,2.2831050228310503e-05,0.00016783333333333334,0.0,0.99883
2026,4.5662100456621006e-05,0.0003356666666666667,0.0,0.99766
2027,6.849315068493152e-05,0.0005035,0.0,0.99649
2028,9.132420091324201e-05,0.0006713333333333334,0.0,0.99532
2029,0.00011415525114155252,0.0008391666666666668,0.0,0.99415
2030,0.00013698630136986303,0.001007,0.0,0.99298
2031,0.00013698630136986303,0.0011632,0.0,0.993139
2032,0.00013698630136986303,0.0013194,0.0,0.993298
2033,0.00013698630136986303,0.0014756,0.0,0.993457
2034,0.00013698630136986303,0.0016318,0.0,0.993616
2035,0.00013698630136986303,0.001788,0.0,0.993775
2036,0.00013698630136986303,0.0019442,0.0,0.993934
2037,0.00013698630136986303,0.0021004,0.0,0.994093
2038,0.00013698630136986303,0.0022566,0.0,0.994252
2039,0.00013698630136986303,0.0024128,0.0,0.994411
2040,0.00013698630136986303,0.002569,0.0,0.99457
2041,0.00013698630136986303,0.0025274,0.0,0.9946966
2042,0.00013698630136986303,0.0024858000000000002,0.0,0.9948232
2043,0.00013698630136986303,0.0024442,0.0,0.9949498
2044,0.00013698630136986303,0.0024026,0.0,0.9950764
2045,0.00013698630136986303,0.0023610000000000003,0.0,0.995203
2046,0.00013698630136986303,0.0023194,0.0,0.9953296
2047,0.00013698630136986303,0.0022778,0.0,0.9954562
2048,0.00013698630136986303,0.0022362,0.0,0.9955828
2049,0.00013698630136986303,0.0021946,0.0,0.9957094
2050,0.00013698630136986303,0.002153,0.0,0.995836
2051,0.00013698630136986303,0.002153,0.0,0.995836
2052,0.00013698630136986303,0.002153,0.0,0.995836
2053,0.00013698630136986303,0.002153,0.0,0.995836
2054,0.00013698630136986303,0.002153,0.0,0.995836
2055,0.00013698630136986303,0.002153,0.0,0.995836
2056,0.00013698630136986303,0.002153,0.0,0.995836
2057,0.00013698630136986303,0.002153,0.0,0.995836
2058,0.00013698630136986303,0.002153,0.0,0.995836
2059,0.00013698630136986303,0.002153,0.0,0.995836
