year,outage_rate,capacity_derate,efficiency_loss,water_constrained_capacity
2025,2.2831050228310503e-05,0.0003125,0.0,1.0
2026,4.5662100456621006e-05,0.000625,0.0,1.0
2027,6.849315068493152e-05,0.0009375000000000001,0.0,1.0
2028,9.132420091324201e-05,0.00125,0.0,1.0
2029,0.00011415525114155252,0.0015625,0.0,1.0
2030,0.00013698630136986303,0.0018750000000000001,0.0,1.0
2031,0.00013698630136986303,0.0021874999999999998,0.0,1.0
2032,0.00013698630136986303,0.0025,0.0,1.0
2033,0.00013698630136986303,0.0028125,0.0,1.0
2034,0.00013698630136986303,0.003125,0.0,1.0
2035,0.00013698630136986303,0.0034375,0.0,1.0
2036,0.00013698630136986303,0.0037500000000000003,0.0,1.0
2037,0.00013698630136986303,0.0040625,0.0,1.0
2038,0.00013698630136986303,0.0043749999999999995,0.0,1.0
2039,0.00013698630136986303,0.0046875,0.0,1.0
2040,0.00013698630136986303,0.005,0.0,1.0
2041,0.00013698630136986303,0.0053125,0.0,1.0
2042,0.00013698630136986303,0.005625,0.0,1.0
2043,0.00013698630136986303,0.0059375,0.0,1.0
2044,0.00013698630136986303,0.00625,0.0,1.0
2045,0.00013698630136986303,0.006562500000000001,0.0,1.0
2046,0.00013698630136986303,0.006875,0.0,1.0
2047,0.00013698630136986303,0.0071875,0.0,1.0
2048,0.00013698630136986303,0.007500000000000001,0.0,1.0
2049,0.00013698630136986303,0.0078125,0.0,1.0
2050,0.00013698630136986303,0.008125,0.0,1.0
2051,0.00013698630136986303,0.008125,0.0,1.0
2052,0.00013698630136986303,0.008125,0.0,1.0
2053,0.00013698630136986303,0.008125,0.0,1.0
2054,0.00013698630136986303,0.008125,0.0,1.0
2055,0.00013698630136986303,0.008125,0.0,1.0
2056,0.00013698630136986303,0.008125,0.0,1.0
2057,0.00013698630136986303,0.008125,0.0,1.0
2058,0.00013698630136986303,0.008125,0.0,1.0
2059,0.00013698630136986303,0.008125,0.0,1.0
