year,plant_outage_rate,capacity_derate,efficiency_loss,water_constrained_capacity,transmission_outage_rate,asset_capex_loss_rate
2025,0.00015657678382125114,0.00016783333333333334,0.0,0.99883,0.0,0.0
2026,0.0003172740093220088,0.0003356666666666667,0.0,0.99766,0.0,0.0
2027,0.00048209167650227323,0.0005035,0.0,0.99649,0.0,0.0
2028,0.0006510297853620442,0.0006713333333333334,0.0,0.99532,0.0,0.0
2029,0.0008240883359013216,0.0008391666666666668,0.0,0.99415,0.0,0.0
2030,0.0010012673281201059,0.001007,0.0,0.99298,0.0,0.0
2031,0.00100682992438744,0.0011632,0.0,0.993139,0.0,0.0
2032,0.0010123925206547738,0.0013194,0.0,0.993298,0.0,0.0
2033,0.0010179551169221077,0.0014756,0.0,0.993457,0.0,0.0
2034,0.0010235177131894416,0.0016318,0.0,0.993616,0.0,0.0
2035,0.0010290803094567757,0.001788,0.0,0.993775,0.0,0.0
2036,0.0010346429057241095,0.0019442,0.0,0.993934,0.0,0.0
2037,0.0010402055019914434,0.0021004,0.0,0.994093,0.0,0.0
2038,0.0010457680982587773,0.0022566,0.0,0.994252,0.0,0.0
2039,0.0010513306945261114,0.0024128,0.0,0.994411,0.0,0.0
2040,0.0010568932907934453,0.002569,0.0,0.99457,0.0,0.0
2041,0.001062455887060779,0.0025274,0.0,0.9946966,0.0,0.0
2042,0.0010680184833281128,0.0024858000000000002,0.0,0.9948232,0.0,0.0
2043,0.0010735810795954469,0.0024442,0.0,0.9949498,0.0,0.0
2044,0.0010791436758627807,0.0024026,0.0,0.9950764,0.0,0.0
2045,0.0010847062721301146,0.0023610000000000003,0.0,0.995203,0.0,0.0
2046,0.0010902688683974485,0.0023194,0.0,0.9953296,0.0,0.0
2047,0.0010958314646647826,0.0022778,0.0,0.9954562,0.0,0.0
2048,0.0011013940609321165,0.0022362,0.0,0.9955828,0.0,0.0
2049,0.0011069566571994503,0.0021946,0.0,0.9957094,0.0,0.0
2050,0.0011125192534667842,0.002153,0.0,0.995836,0.0,0.0
2051,0.0011143734522225622,0.002153,0.0,0.995836,0.0,0.0
2052,0.0011162276509783403,0.002153,0.0,0.995836,0.0,0.0
2053,0.0011180818497341183,0.002153,0.0,0.995836,0.0,0.0
2054,0.001119936048489896,0.002153,0.0,0.995836,0.0,0.0
2055,0.0011217902472456741,0.002153,0.0,0.995836,0.0,0.0
2056,0.0011236444460014522,0.002153,0.0,0.995836,0.0,0.0
2057,0.0011254986447572302,0.002153,0.0,0.995836,0.0,0.0
2058,0.001127352843513008,0.002153,0.0,0.995836,0.0,0.0
2059,0.001129207042268786,0.002153,0.0,0.995836,0.0,0.0
2060,0.001131061241024564,0.002153,0.0,0.995836,0.0,0.0
2061,0.001132915439780342,0.002153,0.0,0.995836,0.0,0.0
2062,0.00113476963853612,0.002153,0.0,0.995836,0.0,0.0
2063,0.001136623837291898,0.002153,0.0,0.995836,0.0,0.0
2064,0.001138478036047676,0.002153,0.0,0.995836,0.0,0.0
