hazard_type,indicator_id,path,display_name,description_short
ChronicHeat,mean_work_loss/medium,chronic_heat/osc/v2/mean_work_loss_medium_MIROC6_{scenario}_{year},"Mean work loss, medium intensity/MIROC6","The mean work loss indicator is calculated from the 'Wet Bulb Globe Temperature' (WBGT) indicator:

$$
I^\text{WBGT}_i = 0.567 \times T^\text{avg}_i + 0.393 \times p^\text{vapour}_i + 3.94
$$

$I^\tex"
ChronicHeat,mean_work_loss/medium,chronic_heat/osc/v2/mean_work_loss_medium_NorESM2-MM_{scenario}_{year},"Mean work loss, medium intensity/NorESM2-MM","The mean work loss indicator is calculated from the 'Wet Bulb Globe Temperature' (WBGT) indicator:

$$
I^\text{WBGT}_i = 0.567 \times T^\text{avg}_i + 0.393 \times p^\text{vapour}_i + 3.94
$$

$I^\tex"
ChronicHeat,mean_work_loss/high,chronic_heat/osc/v2/mean_work_loss_high_ACCESS-CM2_{scenario}_{year},"Mean work loss, high intensity/ACCESS-CM2","The mean work loss indicator is calculated from the 'Wet Bulb Globe Temperature' (WBGT) indicator:

$$
I^\text{WBGT}_i = 0.567 \times T^\text{avg}_i + 0.393 \times p^\text{vapour}_i + 3.94
$$

$I^\tex"
ChronicHeat,mean_work_loss/high,chronic_heat/osc/v2/mean_work_loss_high_CMCC-ESM2_{scenario}_{year},"Mean work loss, high intensity/CMCC-ESM2","The mean work loss indicator is calculated from the 'Wet Bulb Globe Temperature' (WBGT) indicator:

$$
I^\text{WBGT}_i = 0.567 \times T^\text{avg}_i + 0.393 \times p^\text{vapour}_i + 3.94
$$

$I^\tex"
ChronicHeat,mean_work_loss/high,chronic_heat/osc/v2/mean_work_loss_high_CNRM-CM6-1_{scenario}_{year},"Mean work loss, high intensity/CNRM-CM6-1","The mean work loss indicator is calculated from the 'Wet Bulb Globe Temperature' (WBGT) indicator:

$$
I^\text{WBGT}_i = 0.567 \times T^\text{avg}_i + 0.393 \times p^\text{vapour}_i + 3.94
$$

$I^\tex"
ChronicHeat,mean_work_loss/high,chronic_heat/osc/v2/mean_work_loss_high_MPI-ESM1-2-LR_{scenario}_{year},"Mean work loss, high intensity/MPI-ESM1-2-LR","The mean work loss indicator is calculated from the 'Wet Bulb Globe Temperature' (WBGT) indicator:

$$
I^\text{WBGT}_i = 0.567 \times T^\text{avg}_i + 0.393 \times p^\text{vapour}_i + 3.94
$$

$I^\tex"
ChronicHeat,mean_work_loss/high,chronic_heat/osc/v2/mean_work_loss_high_MIROC6_{scenario}_{year},"Mean work loss, high intensity/MIROC6","The mean work loss indicator is calculated from the 'Wet Bulb Globe Temperature' (WBGT) indicator:

$$
I^\text{WBGT}_i = 0.567 \times T^\text{avg}_i + 0.393 \times p^\text{vapour}_i + 3.94
$$

$I^\tex"
ChronicHeat,mean_work_loss/high,chronic_heat/osc/v2/mean_work_loss_high_NorESM2-MM_{scenario}_{year},"Mean work loss, high intensity/NorESM2-MM","The mean work loss indicator is calculated from the 'Wet Bulb Globe Temperature' (WBGT) indicator:

$$
I^\text{WBGT}_i = 0.567 \times T^\text{avg}_i + 0.393 \times p^\text{vapour}_i + 3.94
$$

$I^\tex"
ChronicHeat,days_tas/above/25c,chronic_heat/osc/v2/days_tas_above_25c_ACCESS-CM2_{scenario}_{year},Days with average temperature above 25°C/ACCESS-CM2,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
ChronicHeat,days_tas/above/25c,chronic_heat/osc/v2/days_tas_above_25c_CMCC-ESM2_{scenario}_{year},Days with average temperature above 25°C/CMCC-ESM2,"Days per year for which the average near-surface temperature 'tas' is above a threshold specified in °C.

$$
I =  \frac{365}{n_y} \sum_{i = 1}^{n_y} \boldsymbol{\mathbb{1}}_{\; \, T^{avg}_i > T^\text{"
