scenario,npv_million,irr_pct,avg_dscr,min_dscr,llcr,payback_years,expected_loss_pct,npv_loss_million,debt_spread_bps,equity_premium_pct,crp_bps,climate_risk_premium_bps,wacc_baseline_pct,wacc_adjusted_pct,overall_rating,rating_numeric,spread_bps,is_investment_grade,is_distressed,policy_industry_rating,profitability_rating,coverage_rating,dscr_rating,net_debt_leverage_rating,equity_leverage_rating,asset_leverage_rating,capacity_mw,ebitda_to_fixed_assets,ebitda_to_interest,dscr,net_debt_to_ebitda,debt_to_equity,debt_to_assets,is_ebitda_negative,rating_rationale,counterfactual_rating,counterfactual_spread_bps,scenario_rating_new,scenario_spread_bps_new,rating_migration,notch_change,counterfactual_crp_bps
baseline,-1306.5972252226563,3.799629819710426,0.8366746916567335,0.7746658668942551,0.8843284142671293,21.0,0.0,0.0,250,0.5,90.00000000000009,90.00000000000009,6.0,6.9,BBB,4,250,True,False,AA,BBB,BB,CCC,B,BB,BBB,2100.0,5.595401958986039,1.3988504897465097,0.8366746916567335,14.197453621097322,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.837 < 1.0),A,150,BBB,250,Downgrade by 1 notch(es),1,85.00000000000007
moderate_transition,-1785.6119106985864,1.9091242796220431,0.6512830148808251,0.6254109708148686,0.6851099327160097,26.0,13.493371421857189,479.0146854759302,250,0.5,90.00000000000009,90.00000000000009,6.0,6.9,BBB,4,250,True,False,AA,BBB,BB,CC,B,BB,BBB,2100.0,4.3185112455619725,1.0796278113904931,0.6512830148808251,18.42490255344687,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.651 < 1.0),A,150,BBB,250,Downgrade by 1 notch(es),1,85.00000000000007
aggressive_transition,-2521.968365845594,-3.3142834010448707,0.3548542686018834,0.3533085072788392,0.3729062441268489,,34.23580677811092,1215.3711406229377,400,1.0,220.0000000000002,220.0000000000002,6.0,8.200000000000001,BB,5,400,False,False,AA,BB,B,C,CCC,BB,BBB,2100.0,2.4031619476567965,0.6007904869141991,0.3548542686018834,33.18947517582159,400.0,80.0,False,Overall BB: Weighted average downgraded 1 notch (DSCR=0.355 < 1.0),A,150,BB,400,Downgrade by 2 notch(es),2,205.00000000000006
moderate_physical,-1309.7295848502602,3.787277074681805,0.8356393261518138,0.7727921944506156,0.8833935778746017,21.0,0.08823548246771853,3.1323596276040075,250,0.5,90.00000000000009,90.00000000000009,6.0,6.9,BBB,4,250,True,False,AA,BBB,BB,CCC,B,BB,BBB,2100.0,5.5904278950543755,1.3976069737635939,0.8356393261518138,14.21017473112796,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.836 < 1.0),A,150,BBB,250,Downgrade by 1 notch(es),1,85.00000000000007
high_physical,-1326.7691090155115,3.7119596531369314,0.8306326986885798,0.7615057451320315,0.8791560641713586,21.0,0.5682220786719793,20.17188379285526,250,0.5,90.00000000000009,90.00000000000009,6.0,6.9,BBB,4,250,True,False,AA,BBB,BB,CCC,B,BB,BBB,2100.0,5.56642063357231,1.3916051583930777,0.8306326986885798,14.271892687646053,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.831 < 1.0),A,150,BBB,250,Downgrade by 1 notch(es),1,85.00000000000007
combined_moderate,-1788.3764151449118,1.8946925812398874,0.6502789225008749,0.6236341496320089,0.6842085232045013,26.0,13.571244786542408,481.7791899222555,250,0.5,90.00000000000009,90.00000000000009,6.0,6.9,BBB,4,250,True,False,AA,BBB,BB,CC,B,BB,BBB,2100.0,4.314791972323541,1.0786979930808853,0.6502789225008749,18.440870686963738,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.650 < 1.0),A,150,BBB,250,Downgrade by 1 notch(es),1,85.00000000000007
combined_aggressive,-2533.7253066909266,-3.4527878315900984,0.34934097241717954,0.3408964704520109,0.36823476274836253,,34.566988210373815,1227.1280814682702,400,1.0,220.0000000000002,220.0000000000002,6.0,8.200000000000001,BB,5,400,False,False,AA,BB,B,C,CCC,BB,BBB,2100.0,2.3928416573566667,0.5982104143391667,0.34934097241717954,33.333052184645894,400.0,80.0,False,Overall BB: Weighted average downgraded 1 notch (DSCR=0.349 < 1.0),A,150,BB,400,Downgrade by 2 notch(es),2,205.00000000000006
low_demand,-1904.3403823087488,0.4311500517363287,0.5941646180028536,0.3667912031338587,0.6671762468845688,35.0,16.837835410875847,597.7431570860924,400,1.0,220.0000000000002,220.0000000000002,6.0,8.200000000000001,BB,5,400,False,False,AA,BB,B,CC,CCC,BB,BBB,2100.0,2.6243999923407704,0.6560999980851926,0.5941646180028536,30.383158144138662,400.0,80.0,False,Overall BB: Weighted average downgraded 1 notch (DSCR=0.594 < 1.0),A,150,BB,400,Downgrade by 2 notch(es),2,205.00000000000006
severe_drought,-1326.7691090155115,3.7119596531369314,0.8306326986885798,0.7615057451320315,0.8791560641713586,21.0,0.5682220786719793,20.17188379285526,250,0.5,90.00000000000009,90.00000000000009,6.0,6.9,BBB,4,250,True,False,AA,BBB,BB,CCC,B,BB,BBB,2100.0,5.56642063357231,1.3916051583930777,0.8306326986885798,14.271892687646053,400.0,80.0,False,Overall BBB: Weighted average downgraded 1 notch (DSCR=0.831 < 1.0),A,150,BBB,250,Downgrade by 1 notch(es),1,85.00000000000007
enhanced_11th_plan,-3974.5777249695743,-6.008427438879648,-0.4785059238286903,-1.7275311152898956,-0.3595525778096544,,75.15438027456108,2667.980499746918,5000,3.5,3950.000000000001,3950.000000000001,6.0,45.50000000000001,D,10,5000,False,True,AA,CC,CC,D,CC,BB,BBB,2100.0,-2.186499612850342,-0.5466249032125855,-0.4785059238286903,999.0,400.0,80.0,True,Overall D: DSCR negative (-0.479),A,150,D,5000,Downgrade by 7 notch(es),7,3500.0
enhanced_combined,-3977.0260499970695,-6.037880685484898,-0.47925523020123856,-1.7289063971800533,-0.3602269695629873,,75.22334717674403,2670.428824774413,5000,3.5,3950.000000000001,3950.000000000001,6.0,45.50000000000001,D,10,5000,False,True,AA,CC,CC,D,CC,BB,BBB,2100.0,-2.1890932022753646,-0.547273300568841,-0.47925523020123856,999.0,400.0,80.0,True,Overall D: DSCR negative (-0.479),A,150,D,5000,Downgrade by 7 notch(es),7,3500.0
